indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
1,Total number of T4 sessions conducted,,number,total,F1Q3,,count,form,1,monthly,total,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
2,"T4 Sessions conducted with theme Women in the area, their life style and their vulnerabilities",,number,"Women in the area, their life style and their vulnerabilities",F1Q7,,number,dropdown,1,monthly,,TRUE,1,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
3,"T4 Sessions conducted with theme What is anaemia, its causes and symptoms",,number,"What is anaemia, its causes and symptoms",F1Q7,,number,dropdown,1,monthly,,TRUE,2,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
4,T4 Sessions conducted with theme Effects due to anaemia,,number,Effects due to anaemia,F1Q7,,number,dropdown,1,monthly,,TRUE,3,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
5,T4 Sessions conducted with theme Addressing anaemia using various approaches,,number,Addressing anaemia using various approaches,F1Q7,,number,dropdown,1,monthly,,TRUE,4,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
6,T4 Sessions conducted with theme Supplements for anaemia (IFA),,number,Supplements for anaemia (IFA),F1Q7,,number,dropdown,1,monthly,,TRUE,5,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
7,T4 Sessions conducted with theme Understanding barriers and opportunities,,number,Understanding barriers and opportunities,F1Q7,,number,dropdown,1,monthly,,TRUE,6,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
8,T4 Sessions conducted with theme Role of other stakeholders in ensuring IFA compliance,,number,Role of other stakeholders in ensuring IFA compliance,F1Q7,,number,dropdown,1,monthly,,TRUE,7,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
9,T4 Sessions conducted with theme dietary diversity,,number,dietary diversity,F1Q7,,number,dropdown,1,monthly,,TRUE,8,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
10,T4 Sessions conducted with theme deworming and malaria-effect on anaemia and IFA intake,,number,deworming and malaria-effect on anaemia and IFA intake,F1Q7,,number,dropdown,1,monthly,,TRUE,9,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
11,T4 Sessions conducted with theme WASH,,number,WASH,F1Q7,,number,dropdown,1,monthly,,TRUE,10,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
13,Total number of Adolescent girls present in T4 session,,number,Adolescent girls,F1Q10,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
14,Total number of Women in Reproductive Agegroups (WRA) (15-49) present in T4 session,,number,Women in Reproductive Agegroups (WRA) (15-49),F1Q11,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
15,Total number of Older Women (50+) present in T4 session,,number,Older Women (50+),F1Q12,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
16,Total number of Men present in T4 session,,number,Men,F1Q13,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
17,Total number of members present in T4 session,,number,total,FITN1,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
18,Percent of Adolescent girls present in T4 session,,percent,Adolescent girls,13,17,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
19,Percent of Women in Reproductive Agegroups (WRA) (15-49) present in T4 session,,percent,Women in Reproductive Agegroups (WRA) (15-49),14,17,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
20,Percent of Older Women (50+) present in T4 session,,percent,Older Women (50+),15,17,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
21,Percent of Men present in T4 session,,percent,Men,16,17,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
22,T4 sessions where front line workers were present,,number,total,F1Q14,,number,dropdown,1,monthly,,TRUE,11,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
23,Percentage T4 sessions where front line workers were present,,percent,total,22,1065,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
24,Number of front line workers present in T4 session,,number,total,F1Q16,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
25,Average number of front line workers present in T4 session,,number,total,24,22,avg,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
26,T4 sessions where policy makers were present,,number,total,F1QN1,,number,dropdown,1,monthly,,TRUE,11,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
27,Percentage T4 sessions where policy makers were present,,percent,total,26,1142,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
28,Total number of policy makers present in T4 session,,number,total,F1QN2,,number,numeric,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
29,Average number of policy makers present in T4 session ,,number,total,28,26,avg,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
30,Total number of T4 Sessions supervised,,number,total,F7Q3,,count,form,7,monthly,total,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
31,Total number of respondents who provided feedback,,number,total,F7Q18,,number,numeric,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
32,T4 sessions conducted which were very difficult to facilitate,,number,very difficult,F1Q19,,number,dropdown,1,monthly,,TRUE,14,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
33,T4 sessions conducted which were difficult to facilitate,,number,difficult,F1Q19,,number,dropdown,1,monthly,,TRUE,15,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
34,T4 sessions conducted which were average to facilitate ,,number,average,F1Q19,,number,dropdown,1,monthly,,TRUE,16,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
35,T4 sessions conducted which were easy to facilitate,,number,easy,F1Q19,,number,dropdown,1,monthly,,TRUE,17,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
36,T4 sessions conducted which were very easy to facilitate ,,number,very easy,F1Q19,,number,dropdown,1,monthly,,TRUE,18,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
37,Percentage of T4 sessions conducted which were very difficult to facilitate,,percent,very difficult,32,1,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
38,Percentage of T4 sessions conducted which were difficult to facilitate,,percent,difficult,33,1,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
39,Percentage of T4 sessions conducted which were average to facilitate ,,percent,average,34,1,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
40,Percentage of T4 sessions conducted which were easy to facilitate,,percent,easy,35,1,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
41,Percentage of T4 sessions conducted which were very easy to facilitate ,,percent,very easy,36,1,percent,indicator,1,monthly,,TRUE,,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
42,T4 Sessions  where participants did not understand the content at all,,number,total,F1Q20,,Number,dropdown,1,monthly,,FALSE,19,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
43,T4 Sessions  where participants understood the content very little,,number,total,F1Q20,,Number,dropdown,1,monthly,,FALSE,20,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
44,T4 Sessions  where participants understood half of content,,number,total,F1Q20,,Number,dropdown,1,monthly,,TRUE,21,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
45,T4 Sessions  where participants understood most of content,,number,total,F1Q20,,Number,dropdown,1,monthly,,TRUE,22,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
46,T4 Sessions  where participants understood all of content,,number,total,F1Q20,,Number,dropdown,1,monthly,,TRUE,23,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
52,T4 Sessions conducted  Where CF's rated their overall peformance as Very poor,,number,very poor,F1Q21,,Number,dropdown,1,monthly,,FALSE,24,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
53,T4 Sessions conducted  Where CF's rated their overall peformance as Mostly poor,,number,poor,F1Q21,,Number,dropdown,1,monthly,,FALSE,25,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
54,T4 Sessions conducted  Where CF's rated their overall peformance as Average (so-so),,number,average,F1Q21,,Number,dropdown,1,monthly,,TRUE,26,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
55,T4 Sessions conducted  Where CF's rated their overall peformance as Good ,,number,good,F1Q21,,Number,dropdown,1,monthly,,TRUE,27,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
56,T4 Sessions conducted  Where CF's rated their overall peformance as Very Good,,number,very good,F1Q21,,Number,dropdown,1,monthly,,TRUE,28,data.F1Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
62,T4 Sessions supervised where the presentation's pace was Too slow,,number,too slow,F7Q9,,number,dropdown,7,monthly,,TRUE,112,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
63,T4 Sessions supervised where the presentation's pace was slower than ideal,,number,slower than ideal,F7Q9,,number,dropdown,7,monthly,,TRUE,113,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
64,T4 Sessions supervised where the presentation's pace was appropriate pace,,number,appropriate pace,F7Q9,,number,dropdown,7,monthly,,TRUE,114,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
65,T4 Sessions supervised where the presentation's pace was faster than ideal,,number,faster than ideal,F7Q9,,number,dropdown,7,monthly,,TRUE,115,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
66,T4 Sessions supervised where the presentation's pace was too fast,,number,too fast,F7Q9,,number,dropdown,7,monthly,,TRUE,116,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
67,Percentage of T4 Sessions supervised where the presentation's pace was Too slow,,percent,too slow,62,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
68,Percentage of T4 Sessions supervised where the presentation's pace was slower than ideal,,percent,slower than ideal,63,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
69,Percentage of T4 Sessions supervised where the presentation's pace was appropriate pace,,percent,appropriate pace,64,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
70,Percentage of T4 Sessions supervised where the presentation's pace was faster than ideal,,percent,faster than ideal,65,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
71,Percentage of T4 Sessions supervised where the presentation's pace was too fast,,percent,too fast,66,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
72,T4 Sessions supervised where the content of presentation was Very inaccurate,,number,Very inaccurate,F7Q10,,number,dropdown,7,monthly,,TRUE,117,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
73,T4 Sessions supervised where the content of presentation was somewhat inaccurate,,number,somewhat inaccurate,F7Q10,,number,dropdown,7,monthly,,TRUE,118,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
74,T4 Sessions supervised where the content of presentation was equally accurate and inaccurate,,number,equally accurate and inaccurate,F7Q10,,number,dropdown,7,monthly,,TRUE,119,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
75,T4 Sessions supervised where the content of presentation was mostly accurate,,number,mostly accurate,F7Q10,,number,dropdown,7,monthly,,TRUE,120,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
76,T4 Sessions supervised where the content of presentation was very accurate,,number,very accurate,F7Q10,,number,dropdown,7,monthly,,TRUE,121,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
77,Percentage of T4 Sessions supervised where the content of presentation was Very inaccurate,,percent,Very inaccurate,72,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
78,Percentage of T4 Sessions supervised where the content of presentation was somewhat inaccurate,,percent,somewhat inaccurate,73,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
79,Percentage of T4 Sessions supervised where the content of presentation was equally accurate and inaccurate,,percent,equally accurate and inaccurate,74,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
80,Percentage of T4 Sessions supervised where the content of presentation was mostly accurate,,percent,mostly accurate,75,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
81,Percentage of T4 Sessions supervised where the content of presentation was very accurate,,percent,very accurate,76,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
82,T4 Sessions supervised where the content of presentation was covered adequately,,number,covered adequately,F7Q11,,number,dropdown,7,monthly,,TRUE,122,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
83,T4 Sessions supervised where the content of presentation was covered inadequately,,number,covered inadequately,F7Q11,,number,dropdown,7,monthly,,TRUE,123,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
84,T4 Sessions supervised where the presenter was Not at all confident,,number,Not at all confident,F7Q12,,number,dropdown,7,monthly,,TRUE,124,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
85,T4 Sessions supervised where the presenter was somewhat confident,,number,somewhat confident,F7Q12,,number,dropdown,7,monthly,,TRUE,125,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
86,T4 Sessions supervised where the presenter was very confident,,number,very confident,F7Q12,,number,dropdown,7,monthly,,TRUE,126,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
87,Percentage of T4 Sessions supervised where the content of presentation was covered adequately,,percent,covered adequately,82,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
88,Percentage of T4 Sessions supervised where the content of presentation was covered inadequately,,percent,covered inadequately,83,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
89,Percentage of T4 Sessions supervised where the presenter was Not at all confident,,percent,Not at all confident,84,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
90,Percentage of T4 Sessions supervised where the presenter was somewhat confident,,percent,somewhat confident,85,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
91,Percentage of T4 Sessions supervised where the presenter was very confident,,percent,very confident,86,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
92,T4 Sessions supervised where there was No interaction from audience,,number,No interaction from audience,F7Q15,,number,dropdown,7,monthly,,TRUE,130,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
93,T4 Sessions supervised where there was very low level of interaction from audience,,number,low level of interaction from audience,F7Q15,,number,dropdown,7,monthly,,TRUE,131,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
94,T4 Sessions supervised where there was adequate level of interaction from audience,,number,adequate level of interaction from audience,F7Q15,,number,dropdown,7,monthly,,TRUE,132,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
95,T4 Sessions supervised where there was very high level of interaction from audience,,number,high level of interaction from audience,F7Q15,,number,dropdown,7,monthly,,TRUE,133,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
96,Percentage of T4 Sessions supervised where there was No interaction from audience,,percent,No interaction from audience,92,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
97,Percentage of T4 Sessions supervised where there was very low level of interaction from audience,,percent,low level of interaction from audience,93,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
98,Percentage of T4 Sessions supervised where there was adequate level of interaction from audience,,percent,adequate level of interaction from audience,94,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
99,Percentage of T4 Sessions supervised where there was very high level of interaction from audience,,percent,high level of interaction from audience,95,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
100,T4 Sessions supervised where there was No engagement from audience,,number,No engagement,F7Q16,,number,dropdown,7,monthly,,TRUE,134,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
101,T4 Sessions supervised where there was very little engagement from audience,,number,very little engagement,F7Q16,,number,dropdown,7,monthly,,TRUE,135,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
102,T4 Sessions supervised where there was adequate engagement from audience,,number,adequate engagement,F7Q16,,number,dropdown,7,monthly,,TRUE,136,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
103,T4 Sessions supervised where there was very high level of engagement from audience,,number,very high level of engagement,F7Q16,,number,dropdown,7,monthly,,TRUE,137,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
104,Percentage of T4 Sessions supervised where there was No engagement from audience,,percent,No engagement,100,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
105,Percentage of T4 Sessions supervised where there was very little engagement from audience,,percent,very little engagement,101,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
